Name,Person,Points,Person/Player Join,taskpoints,Fluffy Points,Membership Type,Completed Tasks,Conventional pay,Domain Lead,Email,Jobs,Liberty Game Pay,Phone Number,Roles/Badges,Shifts,Tasks,Workperiod Conventional Pays,Workperiods,completed tasks people/person join,workperiods people/person join,Disapproved Tasks,Phone,Message,Guestbook Date,Event Orders,Events Attended
Rachel,,0,,,,Player,,0,,,,,,Barista (https://www.notion.so/Barista-1aa1503617b480679f46e12691d5f150?pvs=21),,,,,,,,,,,,
Emily,,0,,,,Player,,0,,,,,,Barista (https://www.notion.so/Barista-1aa1503617b480679f46e12691d5f150?pvs=21),,,,,,,,,,,,
Dave,,0,,,,Player,,0,,,,,,Bartender (https://www.notion.so/Bartender-1aa1503617b480d8987de917ce2a559e?pvs=21),,,,,,,,,,,,
Mckynzie,,0,,,,Player,,0,,,,,,"Bartender (https://www.notion.so/Bartender-1aa1503617b480d8987de917ce2a559e?pvs=21), Barista (https://www.notion.so/Barista-1aa1503617b480679f46e12691d5f150?pvs=21)",,,,,,,,,,,,
Christian,,0,,,,Player,,0,,,,,,Cook (https://www.notion.so/Cook-1aa1503617b480febcdfd1721a5cdaaf?pvs=21),,,,,,,,,,,,
Ambra,,0,,,,Player,,0,,,,,,,,,,,,,,,,,,
John Doe,,0,,,,Guest,,0,,,,,,,,,,,,,,,,,,
John Doe,,0,,,,Player,,0,,,,,,,,,,,,,,,,,Wedding (https://www.notion.so/Wedding-1bb1503617b4804abc72cd7e71245a08?pvs=21),
Flash Allan,,0,,,,Guest,,0,,flashblast999@gmail.com,,,,,,,,,,,,,hey hey,"May 12, 2025 6:20 PM (MDT)",,
bob jones,,0,,,,Guest,,0,,xyz@x.com,,,,,,,,,,,,,hi,"May 12, 2025 6:29 PM (MDT)",,
Jimmy Dean,,0,,,,Guest,,0,,balls@dick.com,,,,,,,,,,,,,hey yeah boiye,"May 12, 2025 6:34 PM (MDT)",,shimmy 4/20 (https://www.notion.so/shimmy-4-20-1d81503617b4804ca463f4992e72ccd5?pvs=21)
